epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.746,1.41198,5.63864,1.29497,0,0,0,0,1.2361,5.56356,1.17394,2.727e-05,2.727e-05,2.727e-05
2,273.116,1.2922,5.15049,1.14761,0.00674,0.02,0.01137,0.00892,1.32579,5.20388,1.15833,5.50001e-05,5.50001e-05,5.50001e-05
3,404.602,1.35695,4.46171,1.14526,0.49923,0.03975,0.06613,0.05133,1.40978,4.38876,1.12569,8.21702e-05,8.21702e-05,8.21702e-05
4,532.535,1.35182,3.62279,1.12064,0.58648,0.08951,0.08675,0.05872,1.36185,3.43274,1.17625,9.80003e-05,9.80003e-05,9.80003e-05
5,660.403,1.30233,3.04611,1.11855,0.52058,0.14614,0.14155,0.10223,1.33181,2.94559,1.181,9.70004e-05,9.70004e-05,9.70004e-05
6,787.717,1.22472,2.55265,1.10652,0.56214,0.18032,0.16526,0.11683,1.26639,2.597,1.15226,9.60005e-05,9.60005e-05,9.60005e-05
7,914.623,1.20095,2.37308,1.08064,0.62968,0.17861,0.21671,0.14151,1.25046,2.30013,1.14968,9.50006e-05,9.50006e-05,9.50006e-05
8,1041.38,1.20967,2.16292,1.08694,0.66046,0.20278,0.23919,0.15382,1.22724,1.9609,1.12626,9.40007e-05,9.40007e-05,9.40007e-05
9,1168.83,1.16576,2.00218,1.08172,0.71745,0.24019,0.28191,0.18526,1.19463,1.89121,1.11485,9.30008e-05,9.30008e-05,9.30008e-05
10,1294.96,1.17149,1.90632,1.06933,0.76967,0.26969,0.3162,0.21417,1.20145,1.75365,1.10747,9.20009e-05,9.20009e-05,9.20009e-05
11,1421,1.17647,1.80728,1.07594,0.78419,0.314,0.37098,0.26102,1.18365,1.64164,1.10954,9.1001e-05,9.1001e-05,9.1001e-05
12,1545.94,1.14429,1.60714,1.05745,0.78514,0.32209,0.39765,0.2804,1.20415,1.67786,1.11603,9.00011e-05,9.00011e-05,9.00011e-05
13,1661.75,1.14817,1.66953,1.07141,0.81951,0.3213,0.43212,0.30606,1.21221,1.57293,1.1144,8.90012e-05,8.90012e-05,8.90012e-05
14,1779.52,1.14231,1.5882,1.08038,0.78221,0.36416,0.46377,0.32994,1.1741,1.45998,1.10382,8.80013e-05,8.80013e-05,8.80013e-05
15,1895.87,1.14731,1.46831,1.0709,0.77037,0.39877,0.48086,0.34815,1.1872,1.53956,1.11167,8.70014e-05,8.70014e-05,8.70014e-05
16,2010.48,1.16308,1.47792,1.06917,0.77815,0.42063,0.51985,0.37438,1.16479,1.38357,1.09618,8.60015e-05,8.60015e-05,8.60015e-05
17,2121.04,1.12085,1.38819,1.06004,0.79435,0.45442,0.52841,0.38246,1.17414,1.35657,1.09123,8.50016e-05,8.50016e-05,8.50016e-05
18,2239.93,1.1062,1.34628,1.05926,0.81514,0.43128,0.53371,0.39349,1.17718,1.35148,1.10501,8.40017e-05,8.40017e-05,8.40017e-05
