epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16076,1.33822,5.55139,1.3161,0,0,0,0,1.28349,5.16608,1.16747,2.727e-05,2.727e-05,2.727e-05
2,13.6984,1.29974,4.91773,1.24556,0.00827,0.025,0.02141,0.01579,1.30474,4.65816,1.11943,5.54125e-05,5.54125e-05,5.54125e-05
3,18.1738,1.28515,3.87961,1.21023,0.45866,0.05845,0.08358,0.05967,1.42045,3.35989,1.16821,8.3415e-05,8.3415e-05,8.3415e-05
4,22.599,1.24652,2.89856,1.16228,0.62069,0.13275,0.16656,0.11168,1.36406,2.19454,1.14706,0.00010025,0.00010025,0.00010025
5,27.026,1.16231,2.22122,1.11753,0.56991,0.19816,0.18253,0.11378,1.35854,1.67757,1.14379,0.0001,0.0001,0.0001
6,31.6094,1.10978,1.867,1.09547,0.73841,0.21208,0.23922,0.15554,1.24224,1.39786,1.11468,9.97501e-05,9.97501e-05,9.97501e-05
7,36.081,1.08932,1.67462,1.08806,0.79137,0.27795,0.29152,0.18677,1.27742,1.30078,1.12924,9.95002e-05,9.95002e-05,9.95002e-05
8,40.5396,1.06047,1.50173,1.0729,0.80373,0.33256,0.36685,0.24408,1.23731,1.15025,1.10568,9.92502e-05,9.92502e-05,9.92502e-05
9,45.0692,1.05161,1.38932,1.0731,0.87737,0.32802,0.44087,0.30122,1.25328,1.09675,1.10656,9.90002e-05,9.90002e-05,9.90002e-05
10,49.5249,1.04806,1.30007,1.06742,0.86159,0.38623,0.47767,0.33278,1.22147,1.0223,1.08617,9.87502e-05,9.87502e-05,9.87502e-05
11,53.9913,1.02764,1.22029,1.04631,0.86617,0.42549,0.50642,0.33855,1.24699,0.97955,1.0872,9.85002e-05,9.85002e-05,9.85002e-05
12,58.4717,1.05014,1.16544,1.05278,0.74436,0.47494,0.57346,0.39996,1.21908,0.97626,1.07889,9.82503e-05,9.82503e-05,9.82503e-05
13,62.9714,1.02307,1.11684,1.0567,0.81544,0.49213,0.59352,0.40341,1.25264,0.91258,1.0842,9.80003e-05,9.80003e-05,9.80003e-05
14,67.46,1.03138,1.08967,1.05309,0.85358,0.47567,0.62051,0.43691,1.22245,0.85345,1.08537,9.77503e-05,9.77503e-05,9.77503e-05
15,71.9419,1.03199,1.04519,1.05557,0.82859,0.51127,0.62767,0.44093,1.18431,0.84598,1.06976,9.75003e-05,9.75003e-05,9.75003e-05
16,76.4223,1.02868,1.04053,1.04853,0.79208,0.55745,0.66128,0.46366,1.19584,0.81022,1.07494,9.72504e-05,9.72504e-05,9.72504e-05
17,80.8709,0.99505,0.99897,1.03974,0.68365,0.63667,0.64798,0.45029,1.18072,0.78481,1.06726,9.70004e-05,9.70004e-05,9.70004e-05
18,85.3926,1.00857,0.97183,1.02999,0.64202,0.63743,0.65523,0.46045,1.25589,0.79308,1.09158,9.67504e-05,9.67504e-05,9.67504e-05
19,89.8361,0.99001,0.94943,1.03415,0.67052,0.68978,0.70857,0.5133,1.19128,0.7689,1.07241,9.65004e-05,9.65004e-05,9.65004e-05
20,94.3459,0.98166,0.9289,1.02916,0.67801,0.696,0.71788,0.523,1.20149,0.77044,1.07718,9.62505e-05,9.62505e-05,9.62505e-05
21,98.8396,0.98414,0.92163,1.03014,0.66999,0.68551,0.71287,0.5196,1.18752,0.76813,1.06436,9.60005e-05,9.60005e-05,9.60005e-05
22,103.319,0.97878,0.9327,1.02123,0.65889,0.73086,0.72866,0.53866,1.17904,0.75468,1.06496,9.57505e-05,9.57505e-05,9.57505e-05
23,107.809,0.98025,0.89277,1.02725,0.75983,0.6627,0.72017,0.52131,1.18785,0.72954,1.06536,9.55006e-05,9.55006e-05,9.55006e-05
24,112.298,0.97784,0.87785,1.02837,0.65566,0.72777,0.72741,0.51318,1.22589,0.69973,1.07863,9.52506e-05,9.52506e-05,9.52506e-05
25,116.776,0.97285,0.86885,1.02277,0.71679,0.69576,0.74585,0.55115,1.14589,0.70856,1.05764,9.50006e-05,9.50006e-05,9.50006e-05
26,121.432,0.97849,0.85937,1.02058,0.75401,0.68267,0.74121,0.5369,1.21495,0.71157,1.07829,9.47506e-05,9.47506e-05,9.47506e-05
27,126.037,0.96965,0.84122,1.02707,0.72961,0.70297,0.72876,0.52352,1.20448,0.69476,1.07362,9.45007e-05,9.45007e-05,9.45007e-05
28,130.48,0.9655,0.89833,1.02329,0.70199,0.71674,0.73535,0.52443,1.23027,0.72876,1.08642,9.42507e-05,9.42507e-05,9.42507e-05
29,134.971,0.94307,0.81992,1.02633,0.69866,0.70519,0.73617,0.54022,1.1861,0.68559,1.0765,9.40007e-05,9.40007e-05,9.40007e-05
30,139.555,0.95014,0.82567,1.0216,0.62999,0.74713,0.74907,0.54949,1.1559,0.67241,1.06151,9.37507e-05,9.37507e-05,9.37507e-05
31,144.041,0.95521,0.80617,1.02377,0.68649,0.69847,0.76041,0.5583,1.17626,0.68261,1.06907,9.35008e-05,9.35008e-05,9.35008e-05
