epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.226,1.43637,4.54619,1.40318,0.77139,0.12242,0.15174,0.11197,1.37104,2.63624,1.23966,2.727e-05,2.727e-05,2.727e-05
2,30.9508,1.1703,2.04313,1.21238,0.77767,0.32526,0.33263,0.23534,1.19519,1.44339,1.16051,5.54125e-05,5.54125e-05,5.54125e-05
3,45.0888,1.08357,1.34764,1.15621,0.87037,0.47028,0.58375,0.41867,1.23421,1.03238,1.16141,8.3415e-05,8.3415e-05,8.3415e-05
4,59.2855,1.05112,1.01693,1.12241,0.85565,0.54238,0.63392,0.45381,1.19533,0.84951,1.142,0.00010025,0.00010025,0.00010025
5,73.5826,1.0268,0.85858,1.1007,0.84934,0.61503,0.7496,0.52008,1.19683,0.67092,1.13588,0.0001,0.0001,0.0001
6,87.8754,1.02995,0.76838,1.09524,0.73797,0.72327,0.78713,0.56245,1.1975,0.65067,1.1349,9.97501e-05,9.97501e-05,9.97501e-05
7,101.829,0.99102,0.68638,1.07928,0.73595,0.75138,0.8167,0.57773,1.18977,0.60457,1.13506,9.95002e-05,9.95002e-05,9.95002e-05
8,115.72,0.97648,0.62606,1.08102,0.81284,0.70583,0.83098,0.60802,1.17504,0.60129,1.12822,9.92502e-05,9.92502e-05,9.92502e-05
9,129.679,0.97211,0.59495,1.07556,0.73634,0.78466,0.84963,0.61702,1.17088,0.56733,1.12447,9.90002e-05,9.90002e-05,9.90002e-05
10,143.741,0.95964,0.58204,1.07462,0.71063,0.79276,0.85829,0.62807,1.17003,0.57015,1.128,9.87502e-05,9.87502e-05,9.87502e-05
11,158.24,0.94682,0.54896,1.06249,0.79146,0.77046,0.84842,0.60825,1.18285,0.55198,1.13033,9.85002e-05,9.85002e-05,9.85002e-05
12,172.082,0.96262,0.53526,1.06276,0.72616,0.79174,0.8572,0.62603,1.14386,0.56472,1.11837,9.82503e-05,9.82503e-05,9.82503e-05
