epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.373,2.22025,6.29143,1.49096,0,0,0,0,2.05653,5.66476,1.27189,2.24148e-05,2.24148e-05,2.24148e-05
2,31.0375,2.0856,5.56966,1.23348,0.67917,0.02358,0.01549,0.00853,2.02293,4.54392,1.24127,4.41889e-05,4.41889e-05,4.41889e-05
3,45.4365,2.01422,4.61454,1.19164,0.55525,0.04115,0.03472,0.02294,1.93192,3.64513,1.22159,6.50653e-05,6.50653e-05,6.50653e-05
4,59.6905,1.97388,3.91567,1.17975,0.61527,0.06821,0.05696,0.03764,1.82718,3.18256,1.18536,6.39608e-05,6.39608e-05,6.39608e-05
5,73.8195,1.86509,3.5398,1.15602,0.67356,0.08942,0.09595,0.06238,1.76421,2.83698,1.15252,6.26144e-05,6.26144e-05,6.26144e-05
6,88.0015,1.8309,3.28334,1.13849,0.72351,0.09536,0.11281,0.07535,1.72587,2.64489,1.13157,6.1268e-05,6.1268e-05,6.1268e-05
7,102.155,1.77885,3.10209,1.12708,0.6802,0.13774,0.13373,0.08838,1.66412,2.47122,1.11875,5.99216e-05,5.99216e-05,5.99216e-05
8,116.282,1.7229,2.8905,1.11386,0.71958,0.14696,0.16102,0.1083,1.6689,2.30856,1.11125,5.85752e-05,5.85752e-05,5.85752e-05
9,130.435,1.7143,2.78587,1.09817,0.69158,0.1763,0.19022,0.12971,1.60655,2.16496,1.10063,5.72288e-05,5.72288e-05,5.72288e-05
10,144.557,1.6847,2.64145,1.09608,0.76565,0.16524,0.21591,0.14745,1.59197,2.10822,1.08908,5.58824e-05,5.58824e-05,5.58824e-05
11,158.665,1.64171,2.54006,1.08872,0.71504,0.21018,0.24835,0.17059,1.56291,2.0112,1.08835,5.4536e-05,5.4536e-05,5.4536e-05
12,172.84,1.6523,2.46201,1.09128,0.77953,0.21067,0.25691,0.17595,1.55904,1.92619,1.09098,5.31896e-05,5.31896e-05,5.31896e-05
13,187.02,1.62555,2.42141,1.08442,0.7602,0.22812,0.26259,0.17728,1.5432,1.87275,1.08279,5.18432e-05,5.18432e-05,5.18432e-05
14,201.101,1.60118,2.33209,1.08068,0.77046,0.2132,0.29173,0.19593,1.56002,1.83615,1.08314,5.04968e-05,5.04968e-05,5.04968e-05
15,215.214,1.61414,2.29272,1.07964,0.82253,0.21426,0.31775,0.21548,1.52473,1.7643,1.07623,4.91504e-05,4.91504e-05,4.91504e-05
16,229.308,1.55769,2.2803,1.06105,0.72497,0.26641,0.32724,0.22057,1.50788,1.69145,1.0719,4.7804e-05,4.7804e-05,4.7804e-05
17,243.406,1.5422,2.14227,1.06123,0.74985,0.26014,0.34522,0.23916,1.48722,1.66477,1.0723,4.64576e-05,4.64576e-05,4.64576e-05
18,257.52,1.5565,2.11666,1.05879,0.78545,0.25935,0.3607,0.24494,1.49266,1.62071,1.06814,4.51112e-05,4.51112e-05,4.51112e-05
19,271.6,1.52114,2.04946,1.0562,0.67595,0.32027,0.3747,0.2567,1.4809,1.57537,1.06958,4.37648e-05,4.37648e-05,4.37648e-05
20,285.694,1.52539,2.02737,1.05926,0.66826,0.31513,0.38033,0.2591,1.4847,1.56786,1.06817,4.24184e-05,4.24184e-05,4.24184e-05
21,299.882,1.52884,1.96552,1.05113,0.64903,0.33186,0.38906,0.26637,1.46997,1.53959,1.06371,4.1072e-05,4.1072e-05,4.1072e-05
22,314,1.51144,1.97099,1.0492,0.7116,0.32246,0.40428,0.27715,1.45415,1.49812,1.06005,3.97256e-05,3.97256e-05,3.97256e-05
23,328.095,1.50754,1.90845,1.04756,0.70044,0.34591,0.4082,0.28199,1.45928,1.48446,1.05868,3.83792e-05,3.83792e-05,3.83792e-05
24,342.21,1.46263,1.97607,1.03171,0.71126,0.33515,0.42348,0.29108,1.46306,1.46989,1.06057,3.70328e-05,3.70328e-05,3.70328e-05
25,356.324,1.50627,1.87167,1.0411,0.73559,0.35348,0.43365,0.29829,1.44589,1.43668,1.05671,3.56864e-05,3.56864e-05,3.56864e-05
26,370.413,1.47025,1.85895,1.0327,0.71404,0.35323,0.43094,0.30064,1.43723,1.4234,1.05155,3.434e-05,3.434e-05,3.434e-05
27,384.775,1.49478,1.83978,1.04755,0.69918,0.36965,0.44821,0.31301,1.44364,1.43529,1.05294,3.29936e-05,3.29936e-05,3.29936e-05
28,399.252,1.4745,1.78411,1.03914,0.76047,0.35003,0.46066,0.32076,1.43112,1.39704,1.04845,3.16472e-05,3.16472e-05,3.16472e-05
29,413.779,1.46882,1.76938,1.04093,0.76483,0.34954,0.46904,0.32477,1.4328,1.40004,1.0505,3.03008e-05,3.03008e-05,3.03008e-05
30,428.126,1.43399,1.73942,1.03425,0.71659,0.36833,0.47806,0.33275,1.42771,1.3713,1.04911,2.89544e-05,2.89544e-05,2.89544e-05
31,442.341,1.41925,1.80218,1.01954,0.69887,0.39278,0.49041,0.34357,1.4198,1.35833,1.04728,2.7608e-05,2.7608e-05,2.7608e-05
32,456.55,1.45017,1.75333,1.03432,0.77057,0.36826,0.48729,0.34255,1.42634,1.36492,1.04787,2.62616e-05,2.62616e-05,2.62616e-05
33,470.649,1.44682,1.72073,1.02249,0.79361,0.37547,0.49742,0.34976,1.41039,1.33939,1.04426,2.49152e-05,2.49152e-05,2.49152e-05
34,484.742,1.44198,1.71274,1.01901,0.74066,0.3818,0.48718,0.34432,1.41067,1.34058,1.04396,2.35688e-05,2.35688e-05,2.35688e-05
35,498.896,1.4375,1.70476,1.02384,0.6883,0.42458,0.50716,0.35621,1.41402,1.33138,1.0435,2.22224e-05,2.22224e-05,2.22224e-05
36,512.98,1.42865,1.67223,1.02297,0.68094,0.42259,0.51127,0.35902,1.41792,1.34294,1.04334,2.0876e-05,2.0876e-05,2.0876e-05
37,527.14,1.42579,1.66739,1.02536,0.71789,0.41731,0.52237,0.36376,1.40494,1.31881,1.03947,1.95296e-05,1.95296e-05,1.95296e-05
38,541.254,1.40413,1.61245,1.0171,0.67438,0.43504,0.52311,0.36879,1.40344,1.30881,1.0413,1.81832e-05,1.81832e-05,1.81832e-05
39,555.358,1.41895,1.64673,1.0206,0.75064,0.40753,0.52056,0.36785,1.40486,1.30211,1.04065,1.68368e-05,1.68368e-05,1.68368e-05
40,569.45,1.4038,1.61789,1.01788,0.66843,0.44676,0.52538,0.36714,1.40252,1.28844,1.03907,1.54904e-05,1.54904e-05,1.54904e-05
41,614.522,1.43206,1.88083,1.05687,0.63376,0.42525,0.50045,0.33528,1.47581,1.37976,1.06516,1.4144e-05,1.4144e-05,1.4144e-05
42,628.556,1.40042,1.71317,1.0567,0.67108,0.42698,0.50377,0.33859,1.46314,1.35762,1.06015,1.27976e-05,1.27976e-05,1.27976e-05
43,642.6,1.38701,1.70417,1.05091,0.66816,0.44401,0.5169,0.35421,1.44066,1.33199,1.05543,1.14512e-05,1.14512e-05,1.14512e-05
44,656.479,1.38236,1.68158,1.04714,0.68394,0.44191,0.51795,0.35258,1.44602,1.32695,1.05372,1.01048e-05,1.01048e-05,1.01048e-05
45,670.397,1.37828,1.66102,1.04684,0.69619,0.4433,0.52124,0.35559,1.43327,1.31111,1.05082,8.7584e-06,8.7584e-06,8.7584e-06
46,684.372,1.37245,1.63829,1.05003,0.68628,0.44853,0.5239,0.35624,1.42235,1.30451,1.04897,7.412e-06,7.412e-06,7.412e-06
47,698.221,1.36266,1.64787,1.03644,0.61634,0.46629,0.52071,0.35745,1.42438,1.30644,1.04855,6.0656e-06,6.0656e-06,6.0656e-06
48,712.085,1.3632,1.64369,1.03348,0.61321,0.46892,0.52541,0.36155,1.4284,1.30562,1.04888,4.7192e-06,4.7192e-06,4.7192e-06
49,725.963,1.35623,1.63653,1.032,0.66584,0.46424,0.52856,0.36031,1.41943,1.29643,1.04716,3.3728e-06,3.3728e-06,3.3728e-06
50,739.833,1.36513,1.60729,1.0421,0.66906,0.45432,0.52708,0.3614,1.41966,1.29442,1.04757,2.0264e-06,2.0264e-06,2.0264e-06
