epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.3501,2.29768,7.81473,2.14793,0.83556,0.33705,0.49057,0.42559,1.53235,3.36058,2.12656,1.52393e-05,1.52393e-05,1.52393e-05
2,172.458,1.76693,3.45168,1.92577,0.84282,0.52014,0.6682,0.62196,0.98097,1.88057,1.89673,3.04213e-05,3.04213e-05,3.04213e-05
3,258.249,1.65332,2.65752,1.8856,0.75743,0.75644,0.86611,0.77261,0.96168,1.35785,1.85808,4.54515e-05,4.54515e-05,4.54515e-05
4,342.491,1.57708,2.18218,1.86764,0.63357,0.85343,0.88322,0.81068,0.84669,1.13951,1.84045,4.53169e-05,4.53169e-05,4.53169e-05
5,426.608,1.54057,1.89743,1.85079,0.63215,0.86608,0.88444,0.81563,0.82157,1.10876,1.86163,4.50892e-05,4.50892e-05,4.50892e-05
6,510.772,1.51068,1.7083,1.84157,0.69284,0.88889,0.88444,0.8236,0.76184,0.92075,1.80737,4.48615e-05,4.48615e-05,4.48615e-05
7,594.804,1.45822,1.52311,1.8242,0.89892,0.8789,0.96811,0.89787,0.78441,0.88284,1.80037,4.46338e-05,4.46338e-05,4.46338e-05
8,678.967,1.42899,1.41519,1.82549,0.81941,0.8828,0.995,0.91956,0.7394,0.64437,1.82434,4.44061e-05,4.44061e-05,4.44061e-05
9,763.272,1.3965,1.31414,1.81691,0.68897,0.96348,0.995,0.94222,0.67999,0.74832,1.7226,4.41784e-05,4.41784e-05,4.41784e-05
10,847.405,1.34006,1.19234,1.79063,0.85848,0.88889,0.995,0.93401,0.68075,0.54756,1.77276,4.39507e-05,4.39507e-05,4.39507e-05
11,932.091,1.34163,1.14629,1.79718,0.89898,0.87066,0.99246,0.94405,0.67114,0.68092,1.707,4.3723e-05,4.3723e-05,4.3723e-05
12,1016.53,1.32046,1.09718,1.79116,0.90883,0.94296,0.995,0.95606,0.60822,0.42323,1.71142,4.34953e-05,4.34953e-05,4.34953e-05
13,1100.81,1.31823,1.05257,1.78612,0.84863,0.95821,0.995,0.93329,0.6285,0.6311,1.69834,4.32676e-05,4.32676e-05,4.32676e-05
14,1184.84,1.26815,0.98086,1.76814,0.92728,1,0.995,0.9576,0.62618,0.4241,1.7346,4.30399e-05,4.30399e-05,4.30399e-05
15,1269.02,1.27978,0.96084,1.76991,0.85328,0.9891,0.96811,0.92014,0.70875,0.46564,1.78838,4.28122e-05,4.28122e-05,4.28122e-05
16,1353.5,1.23009,0.90573,1.75213,0.93076,0.98797,0.995,0.93276,0.69494,0.42394,1.76009,4.25845e-05,4.25845e-05,4.25845e-05
17,1437.76,1.2284,0.88552,1.75465,0.89119,1,0.995,0.93565,0.61973,0.47173,1.72659,4.23568e-05,4.23568e-05,4.23568e-05
18,1521.99,1.20576,0.85193,1.74191,0.91604,0.99278,0.995,0.96952,0.54561,0.41829,1.65524,4.21291e-05,4.21291e-05,4.21291e-05
19,1606.17,1.19899,0.82188,1.73722,0.83251,0.98888,0.995,0.9658,0.55436,0.40829,1.65341,4.19014e-05,4.19014e-05,4.19014e-05
20,1690.17,1.17422,0.79776,1.73184,0.86669,0.99264,0.995,0.95294,0.60541,0.41391,1.68407,4.16737e-05,4.16737e-05,4.16737e-05
21,1774.42,1.15174,0.78342,1.72431,0.89963,0.98949,0.995,0.9634,0.58495,0.38596,1.67127,4.1446e-05,4.1446e-05,4.1446e-05
22,1858.52,1.15233,0.77291,1.72637,0.83986,0.98494,0.995,0.95569,0.55503,0.48968,1.70022,4.12183e-05,4.12183e-05,4.12183e-05
23,1942.8,1.14178,0.74892,1.72552,0.7882,0.93448,0.97648,0.93471,0.55105,0.46831,1.70158,4.09906e-05,4.09906e-05,4.09906e-05
