epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4092,1.87977,4.13046,1.98074,0.69181,0.71429,0.82917,0.69144,1.10392,1.62832,1.54596,9.7216e-05,9.7216e-05,9.7216e-05
2,73.2615,1.29673,1.26679,1.76031,0.79045,0.82656,0.995,0.84199,1.02068,0.74567,1.55499,0.000193283,0.000193283,0.000193283
3,107.57,1.1457,0.8942,1.7159,0.81746,0.85714,0.995,0.88432,0.78146,0.52798,1.52711,0.00028741,0.00028741,0.00028741
4,141.929,1.09969,0.76421,1.70513,0.76245,1,0.995,0.83864,0.88329,0.49968,1.56226,0.000285268,0.000285268,0.000285268
5,176.203,1.03163,0.67805,1.68654,0.8037,0.94424,0.995,0.87418,0.75525,0.43605,1.53531,0.000282358,0.000282358,0.000282358
6,210.448,0.99538,0.63855,1.67675,0.82446,1,0.995,0.87418,0.79301,0.41857,1.57885,0.000279447,0.000279447,0.000279447
7,244.781,0.96038,0.59768,1.66798,0.75383,0.97547,0.995,0.88839,0.70174,0.46044,1.56028,0.000276536,0.000276536,0.000276536
8,279.016,0.96813,0.58443,1.66709,0.82655,1,0.995,0.89278,0.68792,0.34945,1.54889,0.000273626,0.000273626,0.000273626
9,313.5,0.86891,0.53768,1.65243,0.82528,0.966,0.995,0.87773,0.76165,0.4343,1.55406,0.000270715,0.000270715,0.000270715
10,347.932,0.8663,0.53033,1.65104,0.712,0.92857,0.97119,0.86059,0.7994,0.55024,1.55555,0.000267805,0.000267805,0.000267805
11,382.313,0.81698,0.49762,1.64126,0.83825,0.99494,0.995,0.86114,0.83846,0.385,1.56272,0.000264894,0.000264894,0.000264894
12,416.552,0.81561,0.49128,1.64024,0.92087,0.96061,0.995,0.89254,0.65519,0.35285,1.55746,0.000261983,0.000261983,0.000261983
13,451.009,0.79746,0.48529,1.63511,0.8422,0.95182,0.995,0.88573,0.68492,0.34325,1.55888,0.000259073,0.000259073,0.000259073
14,485.476,0.762,0.46861,1.63354,0.91708,1,0.995,0.90733,0.66019,0.3386,1.55236,0.000256162,0.000256162,0.000256162
15,519.868,0.77602,0.46499,1.63063,0.94364,0.97508,0.995,0.92155,0.64699,0.37115,1.54828,0.000253252,0.000253252,0.000253252
16,554.213,0.75957,0.45668,1.63031,0.94517,1,0.995,0.89266,0.57788,0.30013,1.53626,0.000250341,0.000250341,0.000250341
17,588.398,0.73228,0.44451,1.62555,0.7883,1,0.995,0.89976,0.72684,0.37812,1.53517,0.00024743,0.00024743,0.00024743
18,622.733,0.71458,0.44007,1.61964,0.97249,1,0.995,0.90687,0.61239,0.29058,1.54028,0.00024452,0.00024452,0.00024452
19,656.957,0.70376,0.42537,1.61818,0.97604,1,0.995,0.90776,0.59475,0.29988,1.53452,0.000241609,0.000241609,0.000241609
20,691.146,0.7038,0.42256,1.61716,0.95724,1,0.995,0.91059,0.63283,0.27218,1.53325,0.000238699,0.000238699,0.000238699
21,725.271,0.6825,0.41337,1.61665,0.85353,1,0.995,0.88455,0.81818,0.40488,1.54802,0.000235788,0.000235788,0.000235788
22,759.415,0.69207,0.41346,1.61573,0.91962,1,0.995,0.94289,0.51444,0.29544,1.52922,0.000232877,0.000232877,0.000232877
23,793.734,0.65128,0.39961,1.61031,0.93189,1,0.995,0.88839,0.59052,0.37096,1.52808,0.000229967,0.000229967,0.000229967
24,827.895,0.66544,0.40232,1.61159,0.93363,1,0.995,0.90971,0.54264,0.30765,1.52766,0.000227056,0.000227056,0.000227056
25,862.051,0.64066,0.39105,1.60647,0.87889,1,0.995,0.8955,0.58166,0.28016,1.52911,0.000224146,0.000224146,0.000224146
26,896.213,0.63938,0.38663,1.61104,0.9246,1,0.995,0.93282,0.56928,0.25608,1.5224,0.000221235,0.000221235,0.000221235
27,931.107,0.65859,0.39277,1.60975,0.91558,1,0.995,0.90439,0.56375,0.37061,1.52351,0.000218324,0.000218324,0.000218324
28,965.47,0.64074,0.38234,1.61015,0.93394,1,0.995,0.90439,0.52204,0.25078,1.52428,0.000215414,0.000215414,0.000215414
29,999.912,0.6485,0.38037,1.60779,0.89578,1,0.995,0.918,0.56239,0.33325,1.53484,0.000212503,0.000212503,0.000212503
30,1034.5,0.61789,0.37316,1.60356,0.87001,1,0.995,0.90971,0.64344,0.29899,1.52851,0.000209593,0.000209593,0.000209593
31,1068.84,0.60797,0.36409,1.60401,0.84644,1,0.995,0.92393,0.55648,0.28733,1.52287,0.000206682,0.000206682,0.000206682
32,1103.42,0.60403,0.36627,1.59919,0.90631,1,0.995,0.90971,0.60983,0.25539,1.53321,0.000203771,0.000203771,0.000203771
33,1137.69,0.61137,0.3599,1.59807,0.90053,1,0.995,0.90971,0.57169,0.25378,1.52238,0.000200861,0.000200861,0.000200861
34,1172.14,0.59621,0.36032,1.60143,0.97211,0.99175,0.995,0.9115,0.55002,0.28495,1.52405,0.00019795,0.00019795,0.00019795
35,1207.05,0.58658,0.3564,1.59905,0.88993,1,0.995,0.91682,0.52557,0.28747,1.52197,0.00019504,0.00019504,0.00019504
36,1241.5,0.58058,0.35223,1.59679,0.89057,1,0.995,0.95236,0.47202,0.28823,1.51369,0.000192129,0.000192129,0.000192129
37,1276.03,0.56811,0.3485,1.59695,0.91553,1,0.995,0.92929,0.55406,0.25474,1.51739,0.000189218,0.000189218,0.000189218
38,1310.5,0.57054,0.34824,1.59688,0.90747,1,0.995,0.94525,0.50562,0.27898,1.51137,0.000186308,0.000186308,0.000186308
39,1344.95,0.60914,0.35642,1.60307,0.93506,1,0.995,0.90971,0.55806,0.24279,1.52477,0.000183397,0.000183397,0.000183397
40,1379.35,0.55002,0.33511,1.59221,0.85547,1,0.995,0.93814,0.46827,0.29687,1.51096,0.000180487,0.000180487,0.000180487
41,1413.73,0.55035,0.33636,1.58948,0.87673,1,0.995,0.96657,0.41378,0.22469,1.50787,0.000177576,0.000177576,0.000177576
42,1448.26,0.55031,0.3378,1.5924,0.90885,1,0.995,0.90675,0.54754,0.36237,1.5189,0.000174665,0.000174665,0.000174665
43,1482.72,0.54748,0.33444,1.59109,0.93563,1,0.995,0.93104,0.48904,0.20274,1.51364,0.000171755,0.000171755,0.000171755
44,1517.19,0.53988,0.32987,1.59034,0.95867,1,0.995,0.94525,0.50129,0.20641,1.52023,0.000168844,0.000168844,0.000168844
45,1551.79,0.54996,0.33218,1.5895,0.98295,1,0.995,0.8955,0.55221,0.25261,1.52023,0.000165934,0.000165934,0.000165934
46,1586.16,0.52829,0.32229,1.58682,0.98609,1,0.995,0.90971,0.48215,0.20837,1.5206,0.000163023,0.000163023,0.000163023
47,1620.5,0.52591,0.32102,1.58907,0.97778,1,0.995,0.92393,0.53201,0.21735,1.51617,0.000160112,0.000160112,0.000160112
48,1654.78,0.53298,0.32059,1.58968,0.95559,1,0.995,0.93932,0.479,0.20611,1.51244,0.000157202,0.000157202,0.000157202
49,1689.04,0.57305,0.33299,1.59571,0.92857,1,0.995,0.95236,0.44662,0.24258,1.50472,0.000154291,0.000154291,0.000154291
50,1723.38,0.53273,0.32007,1.58847,0.9818,0.99189,0.995,0.95236,0.50127,0.22902,1.51802,0.000151381,0.000151381,0.000151381
51,1758.03,0.51242,0.31597,1.58649,0.96095,1,0.995,0.93814,0.45421,0.18934,1.50764,0.00014847,0.00014847,0.00014847
52,1792.32,0.51386,0.31596,1.58721,0.97686,1,0.995,0.93104,0.50643,0.20821,1.51507,0.000145559,0.000145559,0.000145559
53,1826.79,0.50351,0.30997,1.58628,0.90293,1,0.995,0.93104,0.43372,0.24491,1.50445,0.000142649,0.000142649,0.000142649
54,1861.02,0.50894,0.31064,1.58627,0.99535,1,0.995,0.93814,0.41141,0.17944,1.50059,0.000139738,0.000139738,0.000139738
55,1895.25,0.51071,0.3118,1.58353,0.99191,1,0.995,0.93104,0.42603,0.1949,1.50448,0.000136828,0.000136828,0.000136828
56,1929.97,0.50204,0.30797,1.58623,0.99544,1,0.995,0.93814,0.46227,0.18595,1.50876,0.000133917,0.000133917,0.000133917
57,1964.47,0.50575,0.30864,1.58209,0.94444,1,0.995,0.93814,0.40441,0.26688,1.50272,0.000131006,0.000131006,0.000131006
58,1998.75,0.4888,0.30103,1.58659,0.93951,1,0.995,0.96657,0.33058,0.20148,1.50003,0.000128096,0.000128096,0.000128096
59,2033.07,0.49683,0.30369,1.58327,0.95439,1,0.995,0.95946,0.39968,0.19178,1.50299,0.000125185,0.000125185,0.000125185
60,2067.3,0.47927,0.29586,1.58536,0.984,1,0.995,0.95236,0.4315,0.19325,1.50451,0.000122275,0.000122275,0.000122275
61,2101.78,0.48055,0.29723,1.58415,0.97524,1,0.995,0.91682,0.5074,0.20668,1.51247,0.000119364,0.000119364,0.000119364
62,2136.2,0.48087,0.29193,1.58508,0.98716,1,0.995,0.96183,0.40855,0.18972,1.49863,0.000116453,0.000116453,0.000116453
63,2170.47,0.48251,0.29716,1.58399,0.98971,1,0.995,0.94525,0.39708,0.17698,1.49984,0.000113543,0.000113543,0.000113543
64,2204.87,0.48985,0.29351,1.58128,0.97565,1,0.995,0.95946,0.42387,0.22064,1.50504,0.000110632,0.000110632,0.000110632
65,2239.17,0.46514,0.28808,1.58102,0.98921,1,0.995,0.95946,0.38791,0.16994,1.50195,0.000107722,0.000107722,0.000107722
66,2273.47,0.46085,0.28488,1.57863,0.98873,1,0.995,0.95946,0.39614,0.16854,1.5023,0.000104811,0.000104811,0.000104811
67,2307.78,0.46001,0.28711,1.58193,0.98483,1,0.995,0.95,0.37997,0.17876,1.50008,0.0001019,0.0001019,0.0001019
68,2341.99,0.45684,0.28109,1.58089,0.98635,1,0.995,0.95236,0.4109,0.18982,1.50057,9.89898e-05,9.89898e-05,9.89898e-05
69,2376.35,0.47384,0.28768,1.57998,0.99122,1,0.995,0.93814,0.39238,0.18438,1.50164,9.60792e-05,9.60792e-05,9.60792e-05
70,2410.93,0.464,0.28283,1.57941,0.98972,1,0.995,0.96657,0.38981,0.17562,1.49967,9.31686e-05,9.31686e-05,9.31686e-05
71,2445.55,0.46778,0.28536,1.58113,0.99549,1,0.995,0.93814,0.40281,0.18278,1.50463,9.0258e-05,9.0258e-05,9.0258e-05
72,2479.73,0.45313,0.28081,1.57851,0.99543,1,0.995,0.95236,0.35543,0.17403,1.50051,8.73474e-05,8.73474e-05,8.73474e-05
73,2513.89,0.45301,0.2812,1.57954,0.99508,1,0.995,0.93814,0.39678,0.17595,1.50315,8.44368e-05,8.44368e-05,8.44368e-05
74,2548.51,0.44367,0.27483,1.57781,0.99049,1,0.995,0.95236,0.38444,0.17229,1.49826,8.15262e-05,8.15262e-05,8.15262e-05
75,2582.77,0.44015,0.27412,1.57579,0.99152,0.98815,0.995,0.95236,0.37706,0.17994,1.498,7.86156e-05,7.86156e-05,7.86156e-05
76,2617.08,0.44555,0.27832,1.57764,0.99067,1,0.995,0.9571,0.38363,0.17566,1.49897,7.5705e-05,7.5705e-05,7.5705e-05
77,2651.46,0.43478,0.27071,1.57781,0.99425,1,0.995,0.93814,0.38839,0.17119,1.5004,7.27944e-05,7.27944e-05,7.27944e-05
78,2685.88,0.43842,0.27181,1.5752,0.99028,1,0.995,0.96657,0.37268,0.16731,1.49942,6.98838e-05,6.98838e-05,6.98838e-05
79,2720.22,0.42665,0.26784,1.5756,0.99058,1,0.995,0.96657,0.37698,0.1596,1.5021,6.69732e-05,6.69732e-05,6.69732e-05
80,2754.55,0.42663,0.26628,1.5756,0.99472,1,0.995,0.96657,0.35343,0.16042,1.4977,6.40626e-05,6.40626e-05,6.40626e-05
81,2789.04,0.42461,0.26702,1.57572,0.99077,1,0.995,0.96657,0.3685,0.16601,1.49926,6.1152e-05,6.1152e-05,6.1152e-05
82,2823.75,0.43242,0.26651,1.57489,0.99149,1,0.995,0.96657,0.3616,0.16471,1.49864,5.82414e-05,5.82414e-05,5.82414e-05
