epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.433,1.37595,2.10812,1.85876,0.47275,0.55991,0.55298,0.29131,4.17557,2.99974,3.46913,0.003328,0.003328,0.003328
2,596.682,1.20759,0.78233,1.78605,0.53898,0.64135,0.5972,0.30818,4.0808,2.90001,3.41567,0.0065789,0.0065789,0.0065789
3,886.717,1.22416,0.7214,1.79497,0.69662,0.41753,0.49286,0.25319,4.22997,3.23593,3.6922,0.0097473,0.0097473,0.0097473
4,1175.22,1.17458,0.67189,1.78374,0.7142,0.35029,0.4645,0.24603,4.52346,3.60695,3.93444,0.00962875,0.00962875,0.00962875
5,1463.81,1.05646,0.59465,1.74674,0.70465,0.4644,0.59919,0.30369,4.41049,3.10744,3.93252,0.009505,0.009505,0.009505
6,1752.49,0.99048,0.54519,1.72372,0.68433,0.53329,0.58801,0.3004,4.38582,3.23156,3.93501,0.00938125,0.00938125,0.00938125
7,2041.01,0.93736,0.51409,1.70685,0.57347,0.48067,0.5595,0.25536,4.47841,3.16078,3.98128,0.0092575,0.0092575,0.0092575
8,2329.52,0.89967,0.49201,1.6942,0.63218,0.49894,0.5689,0.29203,4.23522,3.36081,3.7915,0.00913375,0.00913375,0.00913375
9,2617.58,0.85874,0.46545,1.68225,0.66244,0.60217,0.65536,0.32476,4.33277,2.88844,3.96581,0.00901,0.00901,0.00901
10,2908.46,0.81666,0.44906,1.66853,0.63005,0.45084,0.52486,0.25185,4.38434,3.22857,3.98452,0.00888625,0.00888625,0.00888625
11,3202.33,0.7945,0.43263,1.66414,0.45294,0.47634,0.46738,0.20582,4.42641,3.62026,4.1922,0.0087625,0.0087625,0.0087625
12,3497.34,0.77306,0.42294,1.65668,0.77781,0.55778,0.64664,0.33179,4.30259,3.09225,3.95585,0.00863875,0.00863875,0.00863875
13,3789.81,0.74972,0.41183,1.64961,0.74863,0.56745,0.65243,0.29493,4.37755,2.93246,4.11039,0.008515,0.008515,0.008515
14,4080.87,0.7295,0.39478,1.64431,0.61804,0.54278,0.58293,0.26778,4.58462,3.27113,4.24753,0.00839125,0.00839125,0.00839125
15,4370.88,0.71211,0.38858,1.64189,0.76982,0.58675,0.64224,0.28083,4.37906,3.17944,4.19673,0.0082675,0.0082675,0.0082675
16,4661.07,0.69346,0.38279,1.63562,0.63037,0.53731,0.5364,0.2487,4.39311,3.29823,4.0497,0.00814375,0.00814375,0.00814375
17,4953.28,0.67964,0.36842,1.63171,0.76349,0.49266,0.59045,0.26451,4.43193,3.08923,4.25413,0.00802,0.00802,0.00802
18,5242.99,0.66765,0.36763,1.6284,0.74859,0.55286,0.60817,0.28856,4.31801,2.96265,4.09416,0.00789625,0.00789625,0.00789625
19,5537.47,0.65628,0.35789,1.62538,0.72916,0.57923,0.64351,0.328,4.18247,2.78984,3.98525,0.0077725,0.0077725,0.0077725
20,5832.05,0.63565,0.35075,1.62342,0.74873,0.55618,0.61243,0.31199,4.2349,2.9198,3.98539,0.00764875,0.00764875,0.00764875
21,6128.58,0.62933,0.34715,1.61926,0.5758,0.67117,0.68296,0.3197,4.27871,3.00387,3.96767,0.007525,0.007525,0.007525
22,6418.68,0.61234,0.33845,1.61618,0.72879,0.5702,0.64511,0.32482,4.29453,2.97183,4.10166,0.00740125,0.00740125,0.00740125
23,6707.74,0.61028,0.33819,1.61678,0.62376,0.62215,0.64793,0.31017,4.27738,2.99896,4.06737,0.0072775,0.0072775,0.0072775
24,6996.47,0.59556,0.32627,1.61189,0.79876,0.51735,0.61645,0.29886,4.38575,3.02157,4.21846,0.00715375,0.00715375,0.00715375
25,7285.66,0.58191,0.32846,1.60991,0.54807,0.49839,0.50489,0.25183,4.32799,3.19582,4.19075,0.00703,0.00703,0.00703
26,7708.45,0.57624,0.32443,1.60712,0.71137,0.58597,0.6134,0.29243,4.3791,3.07944,4.16182,0.00690625,0.00690625,0.00690625
27,8402.61,0.57519,0.31709,1.60589,0.74323,0.54324,0.62179,0.28021,4.38001,2.9747,4.29606,0.0067825,0.0067825,0.0067825
28,9110.62,0.56341,0.31246,1.60541,0.66476,0.55513,0.62458,0.28238,4.30237,3.32728,4.17311,0.00665875,0.00665875,0.00665875
29,9406.52,0.55396,0.30891,1.60255,0.68505,0.65934,0.69326,0.32779,4.31441,2.99497,4.22322,0.006535,0.006535,0.006535
30,9770.26,0.54453,0.30247,1.60195,0.72629,0.52609,0.60763,0.29903,4.45326,3.09061,4.26297,0.00641125,0.00641125,0.00641125
31,10478,0.54359,0.30236,1.60118,0.80875,0.5525,0.63824,0.31266,4.37004,2.93215,4.2413,0.0062875,0.0062875,0.0062875
32,11063.1,0.53587,0.29752,1.59885,0.77046,0.63476,0.67043,0.34085,4.31163,2.6255,4.27233,0.00616375,0.00616375,0.00616375
