epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.103,2.24102,8.31478,2.15949,0.72809,0.31771,0.42188,0.36767,1.53373,3.47556,1.97074,1.52393e-05,1.52393e-05,1.52393e-05
2,169.542,1.74238,3.66566,1.94277,0.8989,0.40741,0.74043,0.63593,1.38561,2.61841,1.90902,3.03708e-05,3.03708e-05,3.03708e-05
3,252.171,1.64228,2.72848,1.89686,0.84963,0.62441,0.65203,0.60378,1.0141,2.1968,1.96734,4.53e-05,4.53e-05,4.53e-05
4,334.646,1.53463,2.15742,1.85679,0.85017,0.63336,0.7609,0.69318,1.09889,1.56166,1.93078,4.50892e-05,4.50892e-05,4.50892e-05
5,417.932,1.47546,1.80256,1.83246,0.94456,0.6271,0.94746,0.84576,0.86849,1.31742,1.80279,4.47856e-05,4.47856e-05,4.47856e-05
6,500.971,1.40991,1.54991,1.80627,0.83302,0.72989,0.96567,0.8481,1.09612,1.11955,1.89069,4.4482e-05,4.4482e-05,4.4482e-05
7,583.631,1.3602,1.37285,1.78498,0.80654,0.77778,0.995,0.90517,0.87619,0.79725,1.80283,4.41784e-05,4.41784e-05,4.41784e-05
8,667.06,1.30975,1.23046,1.76786,0.83339,0.88889,0.93972,0.84814,0.93913,0.6905,1.88827,4.38748e-05,4.38748e-05,4.38748e-05
9,749.586,1.26154,1.1253,1.75101,0.82571,0.96296,0.98033,0.85678,1.00592,0.55793,1.87481,4.35712e-05,4.35712e-05,4.35712e-05
10,833.805,1.21828,1.03441,1.73758,0.7648,0.93782,0.95397,0.86389,0.90607,0.77995,1.81374,4.32676e-05,4.32676e-05,4.32676e-05
11,917.338,1.17675,0.95324,1.71852,0.90909,0.98168,0.99133,0.87484,1.1176,0.67083,1.83539,4.2964e-05,4.2964e-05,4.2964e-05
12,1000.64,1.14878,0.88513,1.71126,0.84962,0.93761,0.995,0.91396,0.88638,0.52788,1.76171,4.26604e-05,4.26604e-05,4.26604e-05
13,1084.16,1.09885,0.82345,1.69002,0.83018,0.99927,0.98033,0.92565,0.71075,0.44386,1.70777,4.23568e-05,4.23568e-05,4.23568e-05
14,1167.58,1.10479,0.78494,1.68812,0.91606,0.84395,0.97208,0.91733,0.71078,0.58308,1.74833,4.20532e-05,4.20532e-05,4.20532e-05
15,1250.76,1.04178,0.73573,1.67367,0.90244,0.96296,0.98033,0.91901,0.73168,0.43543,1.7126,4.17496e-05,4.17496e-05,4.17496e-05
16,1335.03,1.01644,0.70576,1.66796,0.87599,0.88889,0.97667,0.89753,0.75112,0.55282,1.71773,4.1446e-05,4.1446e-05,4.1446e-05
17,1418.86,1.00992,0.68006,1.66519,0.93009,0.88889,0.93633,0.88639,0.69245,0.62504,1.68519,4.11424e-05,4.11424e-05,4.11424e-05
18,1501.52,0.97761,0.6468,1.65518,0.93225,0.88889,0.995,0.89135,0.93891,0.53637,1.81854,4.08388e-05,4.08388e-05,4.08388e-05
19,1584.4,0.93996,0.61427,1.64207,0.8282,0.88889,0.98033,0.90022,0.79833,0.56734,1.75537,4.05352e-05,4.05352e-05,4.05352e-05
20,1667.11,0.92011,0.59508,1.63696,0.95655,0.88614,0.98033,0.91343,0.76447,0.48811,1.74442,4.02316e-05,4.02316e-05,4.02316e-05
21,1749.76,0.90137,0.57187,1.63163,0.96909,0.88889,0.98583,0.92764,0.69435,0.4833,1.71676,3.9928e-05,3.9928e-05,3.9928e-05
22,1832.58,0.89788,0.55622,1.62782,0.86612,0.97098,0.995,0.93671,0.71239,0.40524,1.72228,3.96244e-05,3.96244e-05,3.96244e-05
23,1915.32,0.86011,0.53427,1.62016,0.95461,0.88889,0.98583,0.93536,0.72238,0.44984,1.74017,3.93208e-05,3.93208e-05,3.93208e-05
24,1997.98,0.84846,0.51877,1.61849,0.92138,0.98221,0.995,0.92658,0.72009,0.33565,1.705,3.90172e-05,3.90172e-05,3.90172e-05
25,2080.48,0.83218,0.50518,1.61114,0.96449,0.96242,0.98583,0.93601,0.64964,0.36635,1.68301,3.87136e-05,3.87136e-05,3.87136e-05
26,2162.86,0.82008,0.4937,1.61081,0.95214,1,0.995,0.95137,0.59384,0.34195,1.64986,3.841e-05,3.841e-05,3.841e-05
27,2245.34,0.79844,0.47646,1.60178,0.97782,0.97573,0.995,0.96393,0.56397,0.33418,1.61933,3.81064e-05,3.81064e-05,3.81064e-05
28,2328.22,0.78883,0.46657,1.60099,0.96674,0.95692,0.995,0.9613,0.57897,0.33932,1.65057,3.78028e-05,3.78028e-05,3.78028e-05
29,2410.77,0.77287,0.45504,1.59919,0.91523,0.99625,0.995,0.9519,0.63353,0.37302,1.68777,3.74992e-05,3.74992e-05,3.74992e-05
30,2493.91,0.7562,0.43848,1.59458,0.93898,0.94841,0.995,0.93221,0.65709,0.33465,1.66185,3.71956e-05,3.71956e-05,3.71956e-05
31,2576.45,0.75926,0.4359,1.59068,0.92711,0.95833,0.98583,0.94786,0.60653,0.33215,1.63963,3.6892e-05,3.6892e-05,3.6892e-05
32,2658.92,0.73484,0.42863,1.59003,0.90416,0.9386,0.995,0.96401,0.59342,0.42555,1.64775,3.65884e-05,3.65884e-05,3.65884e-05
33,2741.5,0.73492,0.42592,1.58725,0.91592,0.96786,0.995,0.94632,0.57067,0.31419,1.66536,3.62848e-05,3.62848e-05,3.62848e-05
34,2824.14,0.73001,0.41355,1.5874,0.95535,0.88723,0.995,0.9425,0.52939,0.42839,1.66019,3.59812e-05,3.59812e-05,3.59812e-05
35,2907.38,0.70349,0.40264,1.58126,0.9501,0.97651,0.995,0.95196,0.55271,0.26316,1.6673,3.56776e-05,3.56776e-05,3.56776e-05
36,2991.04,0.68299,0.38999,1.57772,0.86941,1,0.995,0.94249,0.64538,0.34493,1.66154,3.5374e-05,3.5374e-05,3.5374e-05
37,3073.61,0.68561,0.38667,1.57759,0.89675,0.97286,0.995,0.94499,0.56445,0.32625,1.67632,3.50704e-05,3.50704e-05,3.50704e-05
38,3156.47,0.67369,0.38389,1.57701,0.94495,0.98278,0.995,0.95935,0.58078,0.29797,1.65946,3.47668e-05,3.47668e-05,3.47668e-05
39,3240.7,0.67226,0.37579,1.57731,0.87486,0.99006,0.995,0.94557,0.60486,0.297,1.67335,3.44632e-05,3.44632e-05,3.44632e-05
40,3324.4,0.6509,0.37154,1.57302,0.87805,0.98738,0.995,0.94482,0.63426,0.32277,1.69306,3.41596e-05,3.41596e-05,3.41596e-05
41,3407.14,0.66138,0.37328,1.57383,0.93351,1,0.995,0.97939,0.48702,0.51891,1.60637,3.3856e-05,3.3856e-05,3.3856e-05
42,3489.72,0.63636,0.36322,1.5693,0.92779,0.98482,0.995,0.97125,0.52482,0.59302,1.63947,3.35524e-05,3.35524e-05,3.35524e-05
43,3572.21,0.64039,0.36021,1.57032,0.97909,1,0.995,0.95757,0.52033,0.39525,1.72347,3.32488e-05,3.32488e-05,3.32488e-05
44,3654.69,0.62746,0.35342,1.56707,0.96536,1,0.995,0.94407,0.53089,0.32853,1.67068,3.29452e-05,3.29452e-05,3.29452e-05
45,3737.18,0.61089,0.34474,1.56407,0.97741,0.96961,0.995,0.94632,0.54296,0.64182,1.68892,3.26416e-05,3.26416e-05,3.26416e-05
46,3820.33,0.60513,0.34196,1.56537,0.9804,0.97487,0.995,0.95737,0.51147,0.31637,1.64407,3.2338e-05,3.2338e-05,3.2338e-05
47,3903.82,0.60505,0.33791,1.56118,0.93244,1,0.995,0.97358,0.43256,0.46919,1.58775,3.20344e-05,3.20344e-05,3.20344e-05
